id,x,y
1,4,53
2,5,63
3,10,59
4,9,77
5,13,49
6,13,69
7,12,88
8,15,75
9,18,61
10,19,65
11,22,74
12,27,72
13,28,76
14,24,58
15,27,55
16,28,60
17,74,96
18,97,122
19,98,116
20,98,124
21,99,119
22,99,128
23,101,115
24,108,111
25,110,111
26,108,116
27,111,126
28,115,117
29,117,115
30,38,151
31,41,150
32,38,145
33,38,143
34,32,143
35,34,141
36,44,156
37,44,149
38,44,143
39,46,142
40,47,149
41,49,152
42,50,142
43,53,144
44,52,152
45,55,155
46,54,124
47,60,136
48,63,139
49,70,4
50,77,12
51,83,21
52,61,15
53,69,15
54,78,16
55,66,18
56,58,13
57,64,20
58,69,21
59,66,23
60,61,25
